URL,YEAR
"http://iacis.org/iis/2018/4_iis_2018_132-139.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_140-149.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_122-131.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_114-121.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_96-105.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_106-113.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_87-95.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_69-76.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_77-86.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_65-68.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_53-64.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_44-52.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_35-43.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_26-34.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_16-25.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_1-9.pdf",2018
"http://iacis.org/iis/2018/4_iis_2018_10-15.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_220-225.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_212-219.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_202-211.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_175-183.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_184-192.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_193-201.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_168-174.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_160-167.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_150-159.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_131-138.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_139-149.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_120-130.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_101-109.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_110-119.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_92-100.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_81-91.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_71-80.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_61-70.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_42-52.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_53-60.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_33-41.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_22-32.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_11-21.pdf",2018
"http://iacis.org/iis/2018/3_iis_2018_1-10.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_217-225.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_208-216.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_199-207.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_185-198.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_174-184.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_155-162.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_163-173.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_149-154.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_132-139.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_140-148.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_119-131.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_99-108.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_109-118.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_90-98.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_81-89.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_65-71.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_72-80.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_56-64.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_41-46.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_47-55.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_33-40.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_23-32.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_13-22.pdf",2018
"http://iacis.org/iis/2018/2_iis_2018_1-12.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_218-226.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_210-217.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_203-209.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_180-191.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_192-202.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_170-179.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_150-158.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_159-169.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_139-149.pdf",2018
"http://iacis.org/iis/2018/1_iis_2018_128-138.pdf",2018
